OTU_ID,TaxonPath
2151802d1dbf805992418c7be8c3844c,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens;
03d445ec208058b3f82567f64a231930,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens;
750debd893a0b52604228a412c9fc0a3,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__Sus scrofa;
3fd0d368d043e7dfdd36d05f93272f52,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Dasyuromorphia;f__Dasyuridae;g__Phascolosorex;s__Phascolosorex doriae;
ea2e522757ad0f9849589725e60fa047,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Dasyuromorphia;f__Dasyuridae;g__Phascolosorex;s__Phascolosorex doriae;
97361538af044bc1ed91c9d61320d7df,d__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Galliformes;f__Phasianidae;g__Alectoris;s__Alectoris rufa;
e521b493c44a962c4f9bbcf7afd76f36,d__Eukaryota;k__Metazoa;p__Chordata;c__Aves;o__Passeriformes;f__Timaliidae;g__Pnoepyga;s__Pnoepyga albiventer;
0675d5aa78a399fee0458fbe89947184,d__Eukaryota;k__Metazoa;p__Chordata;c__Lepidosauria;o__Squamata;f__Colubridae;g__Natriciteres;s__Natriciteres olivacea;
80de99072eac318d927a7cda00b03d17,d__Eukaryota;k__Metazoa;p__Chordata;c__Amphibia;o__Anura;f__Ranidae;g__Rana;s__Rana ornativentris;
d783bdbf2355c49d5a040616a8cc6720,d__Eukaryota;k__Metazoa;p__Echinodermata;c__Ophiuroidea;o__Amphilepidida;f__Amphiuridae;g__Amphipholis;s__Amphipholis squamata;
1c426c93c0ba3850dcd0ff37877cb708,d__Eukaryota;k__Metazoa;p__Echinodermata;c__Ophiuroidea;o__Amphilepidida;f__Amphiuridae;g__Amphipholis;s__Amphipholis squamata;
de18b4e15794b370238ca9f2df3ba7d2,d__Eukaryota;k__Metazoa;p__Echinodermata;c__Ophiuroidea;o__Amphilepidida;f__Amphiuridae;g__Amphipholis;s__Amphipholis squamata;
